quest|answer|point|grade|match_code|notice|math|physics|chemistry|biology|literature|history|geography|english|other|calculating|video
"Những tên lửa không đối không cự ly gần mà máy bay chiến đấu sử dụng thường dùng loại tia nào để dẫn đường?"|"Tia hồng ngoại"|twenty|12|111|||1|||||||||
"Đây là những câu thơ mà tác giả Tạ Hữu Yên viết về không gian linh thiêng nào: ""Cá quẫy trưa hè sóng sánh ao / Mấy con nhện nước nhảy lao xao / Lại nhớ chiều chiều Người gọi cá / Ríu rít quanh bờ lượn sóng chao""?"|"Ao cá Bác Hồ"|ten|13|111||||||1||||||
"Câu đố sau đây nói về vị đại thần nhà Nguyễn nào: ""Có người trung liệt sáng ngời / Quyết không khuất phục bọn người ngoại xâm / Xé đồ băng bó vết thương / Nhịn ăn mà chết, chọn đường tự do""?"|"Nguyễn Tri Phương"|thirty|11|111|"Không có trong SGK nhưng có thể suy luận ra từ ý thơ"||||||1|||||
"Chernobyl - nhà máy đã xảy ra vụ nổ thảm họa năm 1986, lúc đó là nơi sản xuất điện từ nguồn năng lượng nào?"|"Hạt nhân (nguyên tử)"|ten|13|111||||1||||||||
"Tương truyền ai là người đã đưa ra lời sấm ""Cao Bằng tàng tại, tam đại tồn cô"" (nghĩa là nếu nhà Mạc chạy lên Cao Bằng thì sẽ tồn tại được thêm ba đời)?"|"Trạng Trình Nguyễn Bỉnh Khiêm"|twenty|13|111|||||||1|||||
"Ở hệ tiêu hóa của người, gan đóng vai trò gì là chính trên con đường vận chuyển các chất dinh dưỡng về tim?"|"Khử độc"|twenty|9|111|||||1|||||||
"Dựa vào quy luật của dãy số Fibonacci, hãy điền số tiếp theo vào dãy sau: 1, 1, 4, 9, 25, 64, 169, ..."|441|twenty|13|111|"Bình phương các số trong dãy Fibonacci"|1|||||||||1|
"Những tỉnh nào của nước ta hiện nay được mệnh danh là nơi ""Một tiếng gà gáy ba nước đều nghe""?"|"Kon Tum, Điện Biên"|twenty|11|111||||||||1||||
"Tổng bí thư Lê Duẩn đã khẳng định ý nghĩa quan trọng của chiến thắng nào như sau: ""Trong quá trình chiến tranh giải phóng ở miền Nam đã diễn ra những bước nhảy vọt. Với trận ... năm 1963, địch thấy khó thắng ta, sau chiến dịch Bình Giã địch thấy thua ta""?"|"Ấp Bắc"|thirty|12|111|||||||1|||||
"""Vành đai lửa Thái Bình Dương"" bao gồm các khu vực có núi lửa còn hoạt động quanh Thái Bình Dương. ""Vành đai"" này ở gần các châu lục nào?"|"Châu Á, Châu Đại Dương, Châu Mỹ"|thirty|11|111||||||||1||||
"Một đoàn tàu hỏa dài 200m lướt qua một người đi xe đạp ngược chiều với tàu hết 12 giây. Tính vận tốc của tàu, biết vận tốc của người đi xe đạp là 18 km/giờ?"|"42 km/giờ"|thirty|10|111||1|1||||||||1|
"Ống nghiệm chứa (AlCl3.6H2O) và giấy chỉ thị pH. Nung ống nghiệm chứa (AlCl3.6H2O) trên ngọn lửa đèn cồn và thử dòng khí đi ra bằng giấy chỉ thị pH. Ta thấy giấy chỉ thị pH chuyển sang màu đỏ tương ứng với pH = 1. Điều này cho thấy sản phẩm sinh ra có chứa khí HCl. Các bạn hãy cho biết sản phẩm rắn còn lại trong ống nghiệm là chất gì? "|Al2O3|thirty|12|111|"Quan sát trong video có thấy chất rắn có màu trắng"|||1||||||||1
"Tỉnh nào ở khu vực Đông Nam Bộ nước ta không có núi?"|"Không có tỉnh nào"|twenty|13|112|"Các tỉnh không có núi: Thái Bình, Hưng Yên"|||||||1||||
